# WoW Events Quick Reference (514 events)

ACHIEVEMENT_EARNED | Fires when the player earns an achievement
ACTIONBAR_HIDEGRID | Fires when an item, spell or other entity that can be placed into an action bar slot is removed from the cursor. In the 
ACTIONBAR_PAGE_CHANGED | Fires when the main action bar changes pages
ACTIONBAR_SHOWGRID | Fires when an item, spell or other entity that can be placed into an action bar slot is picked up onto the cursor. In th
ACTIONBAR_SLOT_CHANGED | Fires when the contents of an action bar slot change
ACTIONBAR_UPDATE_COOLDOWN | Fires when the cooldown for an action bar item begins or ends
ACTIONBAR_UPDATE_STATE | Fires when the state of an action bar item changes. State changes include the action becoming the current or active acti
ACTIONBAR_UPDATE_USABLE | Fires when an action becomes usable or unusable. For example, an action may become unusable if it contains a spell for w
ACTIVE_TALENT_GROUP_CHANGED | Fires when the player (with Dual Talent Specialization enabled) switches talent builds
ADDON_ACTION_BLOCKED | Fires when a non-Blizzard addon attempts to use a protected API
ADDON_ACTION_FORBIDDEN | Fires when a non-Blizzard addon attempts to use a protected API. In the default UI, this event triggers a dialog box pro
ADDON_LOADED | Fires when an addon and its saved variables are loaded. Fires once for each addon (i.e. an addon loaded early in sequenc
AREA_SPIRIT_HEALER_IN_RANGE | Fires when the player enters into the area of effect of a spirit healer that periodically resurrects nearby player units
AREA_SPIRIT_HEALER_OUT_OF_RANGE | Fires when the player enters leaves the area of effect of a spirit healer that periodically resurrects nearby player uni
ARENA_OPPONENT_UPDATE | Fires when the availability of information about an arena opponent changes
ARENA_SEASON_WORLD_STATE | Fires when the arena season changes
ARENA_TEAM_INVITE_REQUEST | Fires when the player is invited to join an arena team
ARENA_TEAM_ROSTER_UPDATE | Fires when roster detail information for one of the player's arena teams becomes available
ARENA_TEAM_UPDATE | Fires when the player joins or leaves an arena team
AUCTION_BIDDER_LIST_UPDATE | Fires when information becomes available or changes for the list of auctions bid on by the player
AUCTION_HOUSE_CLOSED | Fires when the player ends interaction with an auction house
AUCTION_HOUSE_DISABLED | Fires when the server refuses to give the player access to the auction house because it is disabled
AUCTION_HOUSE_SHOW | Fires when the player begins interaction with an auction house
AUCTION_ITEM_LIST_UPDATE | Fires when the information becomes available for the list of auction browse/search results
AUCTION_MULTISELL_FAILURE | Fires when an auction house multisell could not complete for any reason
AUCTION_MULTISELL_START | Fires when the player starts a multisell in the auction house
AUCTION_MULTISELL_UPDATE | Fires when one of the auctions in an auction house multisell has successfully been created
AUTOEQUIP_BIND_CONFIRM | Fires when the player attempts to equip an item which will become soulbound in the process
AUTOFOLLOW_BEGIN | Fires when the player starts following another character
AUTOFOLLOW_END | Fires when the player stops following another character
BAG_CLOSED | Fires when one of the player's containers is closed
BAG_OPEN | Fires when one of the player's containers is opened
BAG_UPDATE | Fires when the contents of one of the player's containers change. Container contents may change due to obtaining an item
BAG_UPDATE_COOLDOWN | Fires when the cooldown begins or ends for an item in one of the player's containers
BANKFRAME_CLOSED | Fires when the player ends interaction with a bank
BANKFRAME_OPENED | Fires when the player begins interaction with a bank
BARBER_SHOP_CLOSE | Fires when the player ends interaction with a barber shop
BARBER_SHOP_OPEN | Fires when the player begins interaction with a barber shop
