# WoW API Quick Reference (1799 functions)
Format: FunctionName | signature | description

AbandonQuest | AbandonQuest() | Confirms abandoning a quest. Use `SetAbandonQuest()` first to select the quest to abandon.
AbandonSkill | AbandonSkill(index) | Unlearns a skill (used only for professions)
abs | absoluteValue = abs(x) | Returns the absolute value of a number. Alias for the standard library function `math.abs`.
AcceptAreaSpiritHeal | AcceptAreaSpiritHeal() | Accepts the next upcoming periodic resurrection from a battleground spirit healer. Automatically called in the default U
AcceptArenaTeam | AcceptArenaTeam() | Accepts an invitation to join an arena team
AcceptBattlefieldPort | AcceptBattlefieldPort(index, accept) | Accepts the offered teleport to a battleground/arena or leaves the battleground/arena or queue. This function requires a
AcceptDuel | AcceptDuel() | Accepts a proposed duel
AcceptGroup | AcceptGroup() | Accepts an invitation to join a party or raid. Usable in response to the `PARTY_INVITE_REQUEST` event which fires when t
AcceptGuild | AcceptGuild() | Accepts an invitation to join a guild. Usable in response to the `GUILD_INVITE_REQUEST` event, which fires when the play
AcceptLevelGrant | AcceptLevelGrant() | Accepts a level offered by the player's Recruit-a-Friend partner
AcceptProposal | AcceptProposal() | Accepts a LFG dungeon invite.
AcceptQuest | AcceptQuest() | Accepts the quest that is currently displayed
AcceptResurrect | AcceptResurrect() | Accepts an offered resurrection spell. Not used for self-resurrection; see `UseSoulstone()` for such cases.
AcceptSockets | AcceptSockets() | Accepts changes made in the Item Socketing UI. Any gems added are permanently socketed into the item, and any existing g
AcceptTrade | AcceptTrade() | Accepts a proposed trade
AcceptXPLoss | AcceptXPLoss() | Resurrects the player at a spirit healer, accepting possible consequences. Resurrecting at a spirit healer generally res
ActionHasRange | hasRange = ActionHasRange(slot) | Returns whether an action has a range restriction
AddChatWindowChannel | zoneChannel = AddChatWindowChannel(index, channel) | Adds a chat channel to the saved list of those displayed in a chat window. Used by the default UI's function `ChatFrame_
AddChatWindowMessages | AddChatWindowMessages(index, "messageGroup") | Adds a message type to the saved list of those displayed in a chat window. Used by the default UI's function `ChatFrame_
AddFriend | AddFriend("name") | Adds a character to the friends list
AddIgnore | AddIgnore("name") | Adds a character to the ignore list
AddMute | AddMute("name") | Adds a character to the muted list for voice chat. The Muted list acts for voice chat as the Ignore list does for text c
AddOrDelIgnore | AddOrDelIgnore("fullname") | Adds the named character to the ignore list, or removes the character if already in the ignore list
